smoke_dum,neuroticism,conscientiousness,extraversion,smoke_parent,parent_control,maternal_care,taught,male,black,hisp,asian,race_other,prof,home,job_other
0,-0.3664385,-0.0890676,0.12258,0,1,4,1,0,1,0,0,0,1,0,0
0,0.8542801,-0.8311055,-0.1963423,0,0.5714286,3.5,0,0,0,0,0,0,0,1,0
0,-0.6649582,-2.451764,-0.1963423,1,0.7142857,2.5,0,0,0,0,0,0,0,0,0
0,0.8542801,1.565015,0.076363,1,0.5714286,4.5,1,1,0,0,0,0,0,1,0
0,0.3728777,0.2260886,0.076363,1,0.5714286,5,0,0,0,0,1,0,0,1,0
0,0.2525245,-2.451764,1.260275,1,0.4285714,2,1,1,0,0,0,0,0,0,1
0,-0.3664385,-2.451764,1.260275,0,0.7142857,4,0,0,0,1,0,0,0,1,0
0,-0.3664385,-1.112838,0.9413525,1,0.8571429,4.25,0,1,0,0,0,0,0,1,0
0,-0.3664385,-2.451764,0.9875695,0,0.7142857,3.75,0,1,0,1,0,0,0,0,1
0,-0.6334337,-0.9676881,0.6686472,1,0.7142857,4,0,0,1,0,0,0,0,1,0
0,-0.3664385,-2.451764,1.260275,0,0.7142857,4,1,0,0,1,0,0,0,0,1
0,-0.3246819,-0.4129563,-0.1963423,1,0.4285714,4.75,0,0,0,0,0,0,0,0,0
0,0.6676137,0.2260886,0.3490682,0,1,4.75,0,1,0,0,0,0,0,0,0
0,-1.615497,-0.6946884,-0.5152646,0,0.7142857,4.75,1,0,0,0,0,0,0,0,1
0,-1.86376,-1.104105,-1.20064,0,0.5714286,3,1,0,0,0,0,0,0,0,1
0,-0.2081124,-0.5072168,0.3490682,0,0.4285714,5,1,1,0,0,0,0,0,0,0
0,-0.7800898,-0.3707998,-0.2425593,1,1,4.75,0,0,0,0,0,0,0,0,0
0,0.3185433,1.565015,0.076363,1,0.7142857,4.5,1,0,0,0,0,0,0,0,1
0,-0.2081124,0.2260886,0.3490682,1,0.5714286,4,1,0,0,0,0,1,1,0,0
0,-0.2986875,-0.7455774,-0.243216,1,0.8571429,5,0,0,0,0,1,0,0,0,0
0,-0.3404441,-1.291577,-2.111846,1,0.5714286,4.5,1,0,0,0,0,0,1,0,0
1,-1.077415,-0.4216887,-0.6083553,1,0.8571429,4.75,1,1,0,1,0,0,0,0,0
0,0.7377105,-0.6525319,0.3484115,0,0.4285714,5,1,1,0,0,0,0,1,0,0
0,0.8385177,0.6442378,-0.5608249,0,0.5714286,4.75,1,0,0,0,0,1,0,0,0
1,-0.8218464,0.2260886,-1.153766,1,0.5714286,4.75,1,0,0,0,0,0,1,0,0
0,-0.353022,0.5499773,-0.243216,0,1,4.5,1,1,0,0,0,0,1,0,0
0,-0.1505934,0.9347024,0.3490682,0,1,5,1,0,0,0,0,0,0,0,1
0,-0.3664385,0.2260886,0.3490682,1,0.4285714,4.75,1,1,0,0,0,0,1,0,0
0,-0.2986875,-0.1920606,0.0294892,1,0.5714286,4.5,1,1,0,0,0,0,0,0,1
0,-0.3664385,0.2260886,0.3490682,0,0.8571429,3.75,1,1,0,0,0,0,1,0,0
0,0.8960367,-0.0890676,0.0301459,1,0.5714286,4.75,1,1,0,0,0,0,1,0,0
0,-0.3246819,-0.4737927,-0.5621383,1,0.8571429,4.25,1,1,0,0,0,0,1,0,0
0,-0.2829252,-1.052001,0.076363,1,0.7142857,2.75,1,1,0,0,0,0,0,0,0
0,-0.3664385,-0.5072168,0.0301459,0,0.7142857,4.75,1,1,0,0,0,0,1,0,0
0,-0.3404441,-2.76692,-0.5621383,0,0.7142857,5,1,1,0,0,0,0,1,0,0
0,-0.3822008,0.2260886,0.3490682,0,0.8571429,5,1,1,0,0,0,0,1,0,0
0,0.8834589,-0.8311055,0.3490682,0,0.4285714,3,1,0,0,0,0,0,0,0,1
0,0.683376,-0.0890676,0.9875695,1,0.5714286,4,1,0,0,0,0,0,1,0,0
0,0.8676965,-0.822373,1.260275,0,0.8571429,5,1,0,0,0,0,0,0,0,0
0,0.8960367,-0.9589556,1.260275,0,0.8571429,5,1,0,0,0,0,0,1,0,0
0,0.3862942,-0.9340984,0.6217735,1,1,4.75,1,0,0,1,0,0,1,0,0
0,0.6755142,1.283283,1.260275,0,0.7142857,4.5,1,0,0,0,0,1,1,0,0
0,0.8960367,-0.736845,0.9875695,1,0.7142857,4.75,1,1,0,0,0,0,0,0,1
0,-0.3664385,0.2260886,1.260275,0,0.2857143,4,1,1,0,0,0,0,1,0,0
0,0.1862115,0.2260886,0.6679905,1,0.8571429,4.5,1,0,0,0,0,0,0,0,1
0,-0.2624469,-0.0978001,0.7148643,1,0.5714286,5,1,0,0,0,0,1,0,0,1
0,0.8542801,1.565015,1.260275,0,0.5714286,5,1,1,0,0,0,0,0,0,1
0,0.8542801,-0.736845,0.442159,1,0.7142857,3,1,1,0,0,0,0,0,0,1
0,0.8417022,0.2260886,1.260275,1,0.4285714,4.5,1,0,0,0,0,0,0,0,1
0,0.3445376,0.6442378,0.9406958,0,0.8571429,4.75,1,0,0,0,0,0,0,0,1
0,-0.3664385,-0.4042238,1.260275,1,0.5714286,4,0,1,0,0,0,0,1,0,0
0,-0.3664385,-0.5072168,1.260275,0,0.5714286,5,1,1,0,0,0,1,0,0,0
0,0.683376,0.5078208,0.6679905,1,0.8571429,4.5,1,0,0,0,0,0,0,0,1
0,0.922031,0.6355053,0.9875695,1,0.5714286,4.75,1,1,0,0,0,0,0,0,0
0,0.3693811,0.2260886,0.9406958,0,0.7142857,4.75,1,0,0,0,0,0,0,0,1
0,-0.3404441,-0.4042238,0.6679905,0,0.4285714,4.5,1,1,0,0,0,0,1,0,0
0,0.8542801,0.5412448,0.6679905,1,1,5,1,0,0,0,0,0,0,0,1
0,-0.1663557,0.2260886,0.6679905,0,0.5714286,4.25,1,0,0,0,0,0,1,0,0
0,0.8802744,0.9681265,0.9875695,1,1,5,1,1,0,0,0,0,1,0,0
0,-0.3664385,-0.3373757,1.260275,1,0.8571429,4.5,1,0,0,0,0,0,0,0,1
0,-0.2963417,0.0807735,0.6217735,1,0.5714286,4.25,0,1,0,0,0,0,0,0,1
0,-0.3506762,0.2260886,0.6679905,1,1,5,1,1,0,0,0,0,0,0,1
0,0.3988721,-0.3795322,1.260275,0,0.5714286,3.5,1,0,0,0,0,0,0,0,1
0,-0.3664385,0.2260886,-0.2425593,1,0.7142857,4.75,1,0,0,0,0,0,0,0,1
0,-0.8060842,-0.5159492,-0.6090121,1,0.8571429,3,1,1,0,0,0,0,0,0,0
1,0.3728777,1.241126,-0.2887764,1,1,4.25,1,0,0,0,0,0,0,0,1
0,0.8542801,1.565015,-0.2900898,1,0.7142857,5,1,0,0,0,0,0,0,0,1
0,0.8259399,-0.5159492,0.0288325,1,0.8571429,5,1,1,0,0,0,0,0,0,1
0,0.1476392,-1.291577,-0.5614816,0,0.8571429,5,1,1,0,0,0,0,0,0,0
0,0.8676965,0.2260886,0.0294892,1,0.5714286,5,1,1,0,0,0,0,0,0,1
0,0.8259399,-0.4129563,-2.064972,1,0.5714286,5,1,1,0,0,0,0,1,0,0
1,-0.3979631,-1.888299,-2.384551,0,0.8571429,4.5,1,0,0,0,0,0,0,0,1
0,-0.420773,0.2260886,-0.6076986,0,0.8571429,5,0,1,0,0,0,0,0,0,1
0,-0.3664385,-1.615465,-0.5621383,1,0.1428571,5,1,1,0,0,0,0,0,0,1
1,-0.353022,-0.7555249,-0.2425593,0,0.7142857,5,1,0,0,0,0,0,1,0,0
0,0.8542801,-0.7976814,-0.6083553,1,0.8571429,4,1,1,0,1,0,0,0,1,0
1,-0.3664385,-1.291577,0.0294892,0,1,4.75,1,1,0,0,0,0,0,0,1
1,0.8960367,-0.9340984,0.0294892,1,0.5714286,5,1,1,0,0,0,0,1,0,0
0,0.6258571,-1.709726,-0.5159213,0,0.7142857,5,1,1,0,0,0,0,0,0,1
1,0.7794672,-0.0978001,0.0301459,0,0.2857143,4.75,1,1,0,0,0,0,0,0,1
1,-0.3404441,-0.4650603,0.0301459,1,0.4285714,3.75,1,0,0,0,0,0,0,0,1
0,-0.2829252,-0.0890676,-0.243216,1,0.7142857,4.75,1,0,0,0,0,0,0,0,1
0,0.2697248,-0.7281125,-0.9279343,1,0.8571429,4.25,1,0,0,0,0,0,0,0,1
1,-1.694645,0.2260886,0.0301459,1,0.5714286,3.25,1,0,0,0,0,0,1,0,0
0,-0.3687843,-0.0890676,0.0294892,1,0.7142857,4.25,1,0,0,0,0,1,0,0,0
0,-0.1663557,-0.0890676,-0.2425593,0,0.8571429,3.75,1,0,0,0,0,0,0,0,1
0,0.1567204,0.2260886,-0.2894331,1,0.8571429,4.25,1,1,0,0,0,0,0,1,0
1,-0.1663557,-1.112838,0.0301459,1,0.8571429,4.5,1,0,0,0,0,0,1,0,0
1,-0.1505934,0.2260886,0.0301459,1,1,4.5,1,1,0,0,0,0,1,0,0
0,-0.1505934,-0.788949,-0.8817173,0,0.7142857,4.75,1,0,0,0,0,1,0,0,1
1,-1.522591,-2.127875,-0.5146078,0,0.7142857,3.75,1,0,0,0,0,1,0,0,1
1,0.8542801,-0.8645295,-2.384551,1,0.5714286,4.5,1,1,0,0,0,0,0,0,1
0,0.7093704,0.2260886,-0.8348436,0,0.4285714,5,1,0,0,0,0,0,0,0,1
0,-2.398317,-0.71938,0.6224302,0,1,4.25,1,0,0,0,0,0,0,0,1
